feature,importance,class
game,1.2416517137090517,1
answer,1.195712331003193,1
net,0.8731115322847018,1
length,0.8526579264891389,1
defense,0.8499909466358279,1
work,0.8116805049741619,1
sort,0.8054244207240694,1
working,0.8021814039043202,1
used,0.7550500546301118,1
easiest,0.7418541826221453,1
hit,0.9386428808130269,2
played,0.8772728208617561,2
great,0.8244006231289082,2
best,0.7322460324073566,2
difficult,0.6376533518358073,2
good,0.6199644564317491,2
hitter,0.6175191138005744,2
know played,0.6103928362463301,2
player,0.6088547427823714,2
court,0.602776602980036,2
injury,1.9828332590694482,3
injured,1.8651606961058753,3
going,1.5185804808013748,3
serve,1.349586589335878,3
wimbledon,1.341343033281325,3
knee,1.3155913532414114,3
healthy,1.25602828756073,3
idea,1.232765921165404,3
ready,1.2101839696169039,3
training,1.2019490804767707,3
birdie,1.0888257628779379,4
beat,0.9342224643491298,4
today,0.8878536852017613,4
chance,0.8302046095760688,4
fast,0.8096396959847211,4
set,0.799678278800013,4
really,0.7742119660659408,4
match,0.7564893259055616,4
team,0.739796730908285,4
hard,0.7192472428338531,4
people,1.1533925249266688,5
team,1.1472655158176424,5
obviously,0.9917502834186961,5
different,0.9797889979833201,5
guy,0.8780848609972293,5
end,0.8674112362878978,5
think,0.842297205486979,5
win,0.8145425018939101,5
amazing,0.7487159041484351,5
excited,0.7010484011929278,5
tomorrow,1.9470705255854768,6
playing,1.658231765386983,6
mean,1.2042737148053384,6
obviously,1.1802483843138531,6
going,1.071459737000003,6
game,0.9909614839442697,6
forward,0.9818847035342666,6
yesterday,0.9647913728656824,6
pressure,0.9558073875125547,6
point,0.9532675425034477,6
ask,0.607549671887114,7
time,0.5823722454342523,7
city,0.5769187708275634,7
family,0.5642066223635696,7
eat,0.5439999987373842,7
medium,0.5311140907484032,7
tennis,0.5192164200944712,7
place,0.5105753296383138,7
tell,0.5102204029602824,7
big,0.4927516040109516,7
talking,2.034095332646607,8
waiting,1.4743494373307267,8
decided,1.4104590584756715,8
probably,1.3503606500038765,8
struggle,1.3289499551857704,8
position,1.2643916215410123,8
field,1.2180931950735943,8
allowed,1.1871470464072484,8
money,1.1807779892311783,8
past,1.1806096264119685,8
